All,"Tất Cả"
"'Object is not instance of ' .","' Đối tượng không phải là trường hợp của'."
"Filesystem is not writable.","Không thể ghi vào tập tin hệ thống."
"Some error","Có lỗi xảy ra"
"Some message","Một số tin nhắn"
"This command is unavailable right now.","Lệnh này không có sẵn bây giờ."
"The ""test/test/test"" path does not exists","Đường dẫn ""test/test/test"" không tồn tại"
"some prefix","một số tiền tố"
"element label","nhãn hiệu nguyên tố"
"element hint","yếu tố gợi ý"
"element comment","nguyên tố bình luận"
"element tooltip","yếu tố tooltip"
"Add after","Thêm sau"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Group Label","Nhãn hiệu nhóm"
"Some Label","Một số nhãn hiệu"
"Tab Label","Tab nhãn hiệu"
"Field 2","Trường 2"
"Field 3","Trường 3"
"Field 3.1","Trường 3.1"
"Field 3.1.1","Trường 3.1.1"
"Field 4","Trường 4"
"Advanced Section","Phần Nâng cao"
"Advanced Admin Section","Phần quản trị nâng cao"
"Design Section","Phần Thiết kế"
"General Section","Phần Tổng hợp"
"System Section","Phần Hệ thống"
"Currency Setup Section","Phần thiết lập tiền tệ"
"Developer Section","Phần Nhà phát triển"
"Web Section","Phần web"
"Store Email Addresses Section","Phần địa chỉ Email Cửa hàng"
"Email to a Friend","Email cho bạn bè"
"Add configurable attributes to the current Attribute Set (""%1"")","Thêm thuộc tính cấu hình các hiện tại thuộc tính thiết lập (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Thêm các thuộc tính cấu hình thiết lập thuộc tính mới dựa trên hiện tại"
"New attribute set name","đặt tên thuộc tính mới"
"Add configurable attributes to the existing Attribute Set","Thêm thuộc tính cấu hình bộ thuộc tính hiện có"
"Choose existing Attribute Set","Chọn bộ thuộc tính hiện có"
Configurations,"Cấu hình"
"Attribute Values","Giá trị thuộc tính"
"Bulk Images &amp; Price","Hàng loạt hình ảnh &amp; giá"
"Select Attributes","Chọn thuộc tính"
"Choose an Option...","Chọn một tùy chọn..."
"This attribute is used in configurable products.","Thuộc tính này được sử dụng trong sản phẩm cấu hình."
"Option with id ""%1"" not found","Các tùy chọn với id ""%1"" không tìm thấy"
"Option attribute ID is not specified.","Tùy chọn ID thuộc tính không được chỉ định."
"Option label is not specified.","Lựa chọn nhãn hiệu không được chỉ định."
"Option values are not specified.","Giá trị tùy chọn không được chỉ định."
"Value index is not specified for an option.","Chỉ số giá trị không được chỉ định cho một lựa chọn."
"Product with id ""%1"" does not contain required attribute ""%2"".","Sản phẩm với id ""%1"" không chứa thuộc tính yêu cầu ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","Sản phẩm ""%1"" và %2 có các giá trị thuộc tính giống nhau."
"You can't add the item to shopping cart.","Bạn không thể thêm sản phẩm vào giỏ mua hàng."
"Some product variations fields are not valid.","Một số lĩnh vực biến thể sản phẩm là không hợp lệ."
"Choose Affected Attribute Set","Chọn bộ thuộc tính bị ảnh hưởng"
"Add configurable attributes to the current Attribute Set","Thêm thuộc tính cấu hình vào bộ thuộc tính hiện tại"
Confirm,"Xác nhận"
"New Attribute Set Name","đặt Tên thuộc tính mới"
"Select Associated Product","Lựa chọn sản phẩm liên quan"
"Choose a new product to delete and replace the current product configuration.","Chọn một sản phẩm mới để xóa bỏ và thay thế các cấu hình sản phẩm hiện tại."
"For better results, add attributes and attribute values to your products.","Cho kết quả tốt hơn, thêm thuộc tính và giá trị thuộc tính sản phẩm của bạn."
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).","Cấu hình sản phẩm cho phép khách hàng lựa chọn (ví dụ: màu áo sơ mi). Bạn cần phải tạo ra một sản phẩm đơn giản cho mỗi cấu hình (ví dụ: một sản phẩm cho mỗi màu)."
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.","Cấu hình không thể được tạo ra cho một sản phẩm tiêu chuẩn với các tập tin tải về. Để tạo ra cấu hình, đầu tiên xóa tất cả các tập tin tải về."
"Add Products Manually","Thêm sản phẩm bằng cách thủ công"
"Create Configurations","Tạo cấu hình"
"Current Variations","Hiện tại các biến thể"
Weight,"Trọng lượng"
"Custom options with price type ""percent"" is not available for configurable product.","Các tùy chọn tùy chỉnh với loại giá ""phần trăm"" là không có sẵn cho cấu hình sản phẩm."
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Nhóm này chứa các thuộc tính được sử dụng trong cấu hình sản phẩm. Xin vui lòng di chuyển các thuộc tính cho nhóm khác và thử lại."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Thuộc tính này được sử dụng trong cấu hình sản phẩm. Bạn không thể gỡ bỏ nó từ các thiết lập thuộc tính."
"Associated Products","Sản phẩm liên kết"
"Step 2: Attribute Values","Bước 2: Tính giá trị"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Chọn giá trị cho mỗi thuộc tính để thêm vào sản phẩm này. Mỗi sự kết hợp của các giá trị tạo ra một sản phẩm duy nhất."
"Sort Variations","Sắp xếp các biến thể"
Options,"Tùy chọn"
"Deselect All","Bỏ chọn tất cả"
"Remove Attribute","Loại bỏ thuộc tính"
"Save Option","Lưu tùy chọn"
"Remove Option","Hủy bỏ tùy chọn"
"Create New Value","Tạo ra giá trị mới"
"Step 3: Bulk Images, Price and Quantity","Bước 3: Số lượng lớn hình ảnh, giá cả và số lượng"
"Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.","Dựa trên lựa chọn của mình %1 sản phẩm mới sẽ được tạo ra. Sử dụng các bước này để tuỳ chỉnh hình ảnh và giá cả cho sản phẩm mới của bạn."
"Apply single set of images to all SKUs","Áp dụng bộ hình ảnh duy nhất cho tất cả SKUs"
"Apply unique images by attribute to each SKU","Áp dụng những hình ảnh độc đáo bởi thuộc tính cho từng Mã sản phẩm"
"Skip image uploading at this time","Bỏ qua hình ảnh tải lên vào thời gian này"
"Remove image","Loại bỏ các hình ảnh"
"Select attribute","Chọn thuộc tính"
Select,Chọn
"Apply single price to all SKUs","Áp dụng đơn giá cho tất cả mã sản phẩm"
"Apply unique prices by attribute to each SKU","Áp dụng giá duy nhất bởi thuộc tính cho từng Mã sản phẩm"
"Skip price at this time","Bỏ qua giá tại thời điểm này"
"Apply single quantity to each SKUs","Số lượng đơn áp dụng cho các SKUs mỗi"
"Apply unique quantity by attribute to each SKU","Áp dụng số lượng duy nhất bởi thuộc tính cho từng Mã sản phẩm"
"Skip quantity at this time","Bỏ qua số lượng tại thời điểm này"
"Step 1: Select Attributes","Bước 1: Chọn thuộc tính"
"Selected Attributes:","Các thuộc tính đã chọn:"
"Step 4: Summary","Bước 4: Tóm tắt"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Cấu hình sản phẩm cho phép khách hàng lựa chọn (ví dụ: màu áo sơ mi). Bạn cần phải tạo ra một sản phẩm đơn giản cho mỗi cấu hình (ví dụ: một sản phẩm cho mỗi màu)."
"Edit Configurations","Chỉnh sửa cấu hình"
"Upload Image","Tải hình"
"Upload image","Tải ảnh lên"
"No Image","Không có hình ảnh"
"Choose a different Product","Chọn một sản phẩm khác"
"Create Product Configurations","Tạo cấu hình sản phẩm"
"Buy %1 for %2 each and","Mua %1 cho %2 mỗi và"
save,lưu
"Disable Product","Vô hiệu hóa sản phẩm"
"Enable Product","Kích hoạt sản phẩm"
"New Product Review","Đánh giá sản phẩm mới"
"Here are the products you're about to create.","Dưới đây là các sản phẩm bạn sẽ tạo ra."
"You created these products for this configuration.","Bạn tạo ra các sản phẩm cho cấu hình này."
"Disassociated Products","Sản phẩm rời"
"These products are not associated.","Các sản phẩm này không liên kết."
"An attribute has been removed. This attribute will no longer appear in your configurations.","Một thuộc tính đã được gỡ bỏ. Thuộc tính này sẽ không còn xuất hiện trong các cấu hình của bạn."
"Select options for all attributes or remove unused attributes.","Chọn các tùy chọn cho tất cả các thuộc tính hoặc loại bỏ không sử dụng các thuộc tính."
"Choose this option to delete and replace extension data for all past configurations.","Chọn tùy chọn này để xóa bỏ và thay thế dữ liệu tiện ích mở rộng cho tất cả cấu hình trước đây."
"Please select attribute for {section} section.","Vui lòng chọn các thuộc tính cho {section} phần."
"Please fill in the values for {section} section.","Xin vui lòng điền vào các giá trị cho {section} phần."
"Please fill-in correct values.","Xin vui lòng điền vào giá trị đúng."
"Please select image(s) for your attribute.","Hãy chọn hình đại diện."
"Please choose image(s).","Hãy chọn hình ảnh."
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","Khi bạn loại bỏ hoặc thêm một thuộc tính, chúng tôi sẽ tự động cập nhật tất cả cấu hình và bạn sẽ phải tạo lại cấu hình hiện tại thủ công."
"Please select attribute(s).","Bạn hãy chọn (các) thuộc tính."
"Generate Products","Tạo ra sản phẩm"
"Configurable Product Image","Cấu hình sản phẩm hình ảnh"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Cảm ơn bạn đã liên hệ với chúng tôi với các ý kiến và câu hỏi của bạn. Chúng tôi sẽ sớm trả lời bạn."
"Write Us","Viết cho chúng tôi"
"Jot us a note and we’ll get back to you as quickly as possible.","Gửi một lưu ý cho chúng tôi và chúng tôi sẽ trả lời bạn nhanh nhất có thể."
"What’s on your mind?","Bạn đang nghĩ gì?"
"Contact Form","Mẫu liên hệ"
"Contacts Section","Phần liên hệ"
"Contact Us","Liên hệ với chúng tôi"
"Enable Contact Us","Cho phép liên hệ với chúng tôi"
"Email Options","Tùy chọn email"
"Send Emails To","Gửi email đến"
"Email Sender","Người gửi Email"
"Email Template","Mẫu email"
"Invalid domain name: %1","Tên miền không hợp lệ: %1"
"Invalid cookie lifetime: %1","Thời gian hoạt động của Cookie Không hợp lệ: %1"
"Invalid cookie path","Đường dẫn không hợp lệ cookie"
"We use cookies to make your experience better.","Chúng tôi sử dụng cookie để làm cho trải nghiệm của bạn tốt hơn."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Để phù hợp với chỉ thị bảo mật mới, chúng tôi cần phải hỏi sự cho phép bạn để thiết lập các tập tin cookie."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Tìm hiểu thêm</a>."
"Allow Cookies","Cho phép cookie"
"Default Cookie Settings","Cài đặt cookie mặc định"
"Cookie Lifetime","Thời gian hoạt động của Cookie"
"Cookie Path","Đường dẫn Cookie"
"Cookie Domain","Tên miền Cookie"
"Use HTTP Only","Chỉ sử dụng HTTP"
"Cookie Restriction Mode","Chế độ giới hạn cookie"
"We can't save the cron expression.","Chúng tôi không thể lưu biểu thức cron."
